current seq_region name,new seq_region name,INSDC accession,Notes
Scaffold177,JH689497,JH689497,
Scaffold178,JH689498,JH689498,
Scaffold179,JH689499,JH689499,
Scaffold180,JH689500,JH689500,
Scaffold181,JH689501,JH689501,
Scaffold182,JH689502,JH689502,
Scaffold183,JH689503,JH689503,
Scaffold184,JH689504,JH689504,
Scaffold185,JH689505,JH689505,
Scaffold186,JH689506,JH689506,
Scaffold187,JH689507,JH689507,
Scaffold188,JH689508,JH689508,
Scaffold189,JH689509,JH689509,
Scaffold190,JH689510,JH689510,
Scaffold191,JH689511,JH689511,
Scaffold192,JH689512,JH689512,
Scaffold193,JH689513,JH689513,
Scaffold194,JH689514,JH689514,
Scaffold195,JH689515,JH689515,
Scaffold196,JH689516,JH689516,
Scaffold197,JH689517,JH689517,
Scaffold198,JH689518,JH689518,
Scaffold199,JH689519,JH689519,
Scaffold200,JH689520,JH689520,
Scaffold201,JH689521,JH689521,
Scaffold202,JH689522,JH689522,
Scaffold203,JH689523,JH689523,
Scaffold204,JH689524,JH689524,
Scaffold205,JH689525,JH689525,
Scaffold206,JH689526,JH689526,
Scaffold207,JH689527,JH689527,
Scaffold208,JH689528,JH689528,
Scaffold209,JH689529,JH689529,
Scaffold210,JH689530,JH689530,
Scaffold211,JH689531,JH689531,
Scaffold212,JH689532,JH689532,
Scaffold213,JH689533,JH689533,
Scaffold214,JH689534,JH689534,
Scaffold215,JH689535,JH689535,
Scaffold216,JH689536,JH689536,
Scaffold217,JH689537,JH689537,
Scaffold218,JH689538,JH689538,
Scaffold219,JH689539,JH689539,
Scaffold220,JH689540,JH689540,
Scaffold221,JH689541,JH689541,
Scaffold222,JH689542,JH689542,
Scaffold223,JH689543,JH689543,
Scaffold224,JH689544,JH689544,
Scaffold225,JH689545,JH689545,
Scaffold226,JH689546,JH689546,
Scaffold227,JH689547,JH689547,
Scaffold228,JH689548,JH689548,
Scaffold229,JH689549,JH689549,
Scaffold230,JH689550,JH689550,
Scaffold231,JH689551,JH689551,
Scaffold232,JH689552,JH689552,
Scaffold233,JH689553,JH689553,
Scaffold234,JH689554,JH689554,
Scaffold235,JH689555,JH689555,
Scaffold236,JH689556,JH689556,
Scaffold237,JH689557,JH689557,
Scaffold238,JH689558,JH689558,
Scaffold239,JH689559,JH689559,
Scaffold240,JH689560,JH689560,
Scaffold241,JH689561,JH689561,
Scaffold242,JH689562,JH689562,
Scaffold243,JH689563,JH689563,
Scaffold244,JH689564,JH689564,
Scaffold245,JH689565,JH689565,
Scaffold246,JH689566,JH689566,
Scaffold247,JH689567,JH689567,
Scaffold248,JH689568,JH689568,
Scaffold249,JH689569,JH689569,
Scaffold250,JH689570,JH689570,
Scaffold251,JH689571,JH689571,
Scaffold252,JH689572,JH689572,
Scaffold253,JH689573,JH689573,
Scaffold254,JH689574,JH689574,
Scaffold255,JH689575,JH689575,
Scaffold256,JH689576,JH689576,
Scaffold257,JH689577,JH689577,
Scaffold258,JH689578,JH689578,
Scaffold259,JH689579,JH689579,
Scaffold260,JH689580,JH689580,
Scaffold261,JH689581,JH689581,
Scaffold262,JH689582,JH689582,
Scaffold263,JH689583,JH689583,
Scaffold264,JH689584,JH689584,
Scaffold265,JH689585,JH689585,
Scaffold266,JH689586,JH689586,
Scaffold267,JH689587,JH689587,
Scaffold268,JH689588,JH689588,
Scaffold269,JH689589,JH689589,
Scaffold270,JH689590,JH689590,
Scaffold271,JH689591,JH689591,
Scaffold272,JH689592,JH689592,
Scaffold273,JH689593,JH689593,
Scaffold274,JH689594,JH689594,
Scaffold275,JH689595,JH689595,
Scaffold276,JH689596,JH689596,
Scaffold277,JH689597,JH689597,
Scaffold278,JH689598,JH689598,
Scaffold279,JH689599,JH689599,
Scaffold280,JH689600,JH689600,
Scaffold281,JH689601,JH689601,
