current seq_region name,new seq_region name,INSDC accession,Notes
Scaffold176,KK502576,KK502576,
Scaffold177,KK502577,KK502577,
Scaffold178,KK502578,KK502578,
Scaffold179,KK502579,KK502579,
Scaffold180,KK502580,KK502580,
Scaffold181,KK502581,KK502581,
Scaffold182,KK502582,KK502582,
Scaffold183,KK502583,KK502583,
Scaffold184,KK502584,KK502584,
Scaffold185,KK502585,KK502585,
Scaffold186,KK502586,KK502586,
Scaffold187,KK502587,KK502587,
Scaffold188,KK502588,KK502588,
Scaffold189,KK502589,KK502589,
Scaffold190,KK502590,KK502590,
Scaffold191,KK502591,KK502591,
Scaffold192,KK502592,KK502592,
Scaffold193,KK502593,KK502593,
Scaffold194,KK502594,KK502594,
Scaffold195,KK502595,KK502595,
Scaffold196,KK502596,KK502596,
Scaffold197,KK502597,KK502597,
Scaffold198,KK502598,KK502598,
Scaffold199,KK502599,KK502599,
Scaffold200,KK502600,KK502600,
Scaffold201,KK502601,KK502601,
Scaffold202,KK502602,KK502602,
Scaffold203,KK502603,KK502603,
Scaffold204,KK502604,KK502604,
Scaffold205,KK502605,KK502605,
Scaffold206,KK502606,KK502606,
Scaffold207,KK502607,KK502607,
Scaffold208,KK502608,KK502608,
Scaffold209,KK502609,KK502609,
Scaffold210,KK502610,KK502610,
Scaffold211,KK502611,KK502611,
Scaffold212,KK502612,KK502612,
Scaffold213,KK502613,KK502613,
Scaffold214,KK502614,KK502614,
Scaffold215,KK502615,KK502615,
Scaffold216,KK502616,KK502616,
Scaffold217,KK502617,KK502617,
Scaffold218,KK502618,KK502618,
Scaffold219,KK502619,KK502619,
Scaffold220,KK502620,KK502620,
Scaffold221,KK502621,KK502621,
Scaffold222,KK502622,KK502622,
Scaffold223,KK502623,KK502623,
Scaffold224,KK502624,KK502624,
Scaffold225,KK502625,KK502625,
Scaffold226,KK502626,KK502626,
Scaffold227,KK502627,KK502627,
Scaffold228,KK502628,KK502628,
Scaffold229,KK502629,KK502629,
Scaffold230,KK502630,KK502630,
Scaffold231,KK502631,KK502631,
Scaffold232,KK502632,KK502632,
Scaffold233,KK502633,KK502633,
Scaffold234,KK502634,KK502634,
Scaffold235,KK502635,KK502635,
Scaffold236,KK502636,KK502636,
Scaffold237,KK502637,KK502637,
Scaffold238,KK502638,KK502638,
Scaffold239,KK502639,KK502639,
Scaffold240,KK502640,KK502640,
Scaffold241,KK502641,KK502641,
Scaffold242,KK502642,KK502642,
Scaffold243,KK502643,KK502643,
Scaffold244,KK502644,KK502644,
Scaffold245,KK502645,KK502645,
Scaffold246,KK502646,KK502646,
Scaffold247,KK502647,KK502647,
Scaffold248,KK502648,KK502648,
Scaffold249,KK502649,KK502649,
Scaffold250,KK502650,KK502650,
Scaffold251,KK502651,KK502651,
Scaffold252,KK502652,KK502652,
Scaffold253,KK502653,KK502653,
Scaffold254,KK502654,KK502654,
Scaffold255,KK502655,KK502655,
Scaffold256,KK502656,KK502656,
Scaffold257,KK502657,KK502657,
Scaffold258,KK502658,KK502658,
Scaffold259,KK502659,KK502659,
Scaffold260,KK502660,KK502660,
Scaffold261,KK502661,KK502661,
Scaffold262,KK502662,KK502662,
Scaffold263,KK502663,KK502663,
Scaffold264,KK502664,KK502664,
Scaffold265,KK502665,KK502665,
Scaffold266,KK502666,KK502666,
Scaffold267,KK502667,KK502667,
Scaffold268,KK502668,KK502668,
Scaffold269,KK502669,KK502669,
Scaffold270,KK502670,KK502670,
Scaffold271,KK502671,KK502671,
Scaffold272,KK502672,KK502672,
Scaffold273,KK502673,KK502673,
Scaffold274,KK502674,KK502674,
Scaffold275,KK502675,KK502675,
Scaffold276,KK502676,KK502676,
Scaffold277,KK502677,KK502677,
Scaffold278,KK502678,KK502678,
Scaffold279,KK502679,KK502679,
Scaffold280,KK502680,KK502680,
Scaffold281,KK502681,KK502681,
Scaffold282,KK502682,KK502682,
Scaffold283,KK502683,KK502683,
Scaffold284,KK502684,KK502684,
Scaffold285,KK502685,KK502685,
Scaffold286,KK502686,KK502686,
Scaffold287,KK502687,KK502687,
Scaffold288,KK502688,KK502688,
Scaffold289,KK502689,KK502689,
Scaffold290,KK502690,KK502690,
Scaffold291,KK502691,KK502691,
Scaffold292,KK502692,KK502692,
Scaffold293,KK502693,KK502693,
Scaffold294,KK502694,KK502694,
Scaffold295,KK502695,KK502695,
Scaffold296,KK502696,KK502696,
Scaffold297,KK502697,KK502697,
Scaffold298,KK502698,KK502698,
Scaffold299,KK502699,KK502699,
Scaffold300,KK502700,KK502700,
Scaffold301,KK502701,KK502701,
Scaffold302,KK502702,KK502702,
Scaffold303,KK502703,KK502703,
Scaffold304,KK502704,KK502704,
Scaffold305,KK502705,KK502705,
Scaffold306,KK502706,KK502706,
Scaffold307,KK502707,KK502707,
Scaffold308,KK502708,KK502708,
Scaffold309,KK502709,KK502709,
Scaffold310,KK502710,KK502710,
Scaffold311,KK502711,KK502711,
Scaffold312,KK502712,KK502712,
Scaffold313,JMRR01011528,JMRR01011528,
Scaffold314,KK502713,KK502713,
Scaffold315,KK502714,KK502714,
Scaffold316,KK502715,KK502715,
Scaffold317,KK502716,KK502716,
Scaffold318,KK502717,KK502717,
Scaffold319,KK502718,KK502718,
Scaffold320,KK502719,KK502719,
Scaffold321,KK502720,KK502720,
Scaffold322,KK502721,KK502721,
Scaffold323,KK502722,KK502722,
Scaffold324,KK502723,KK502723,
Scaffold325,KK502724,KK502724,
Scaffold326,KK502725,KK502725,
Scaffold327,KK502726,KK502726,
Scaffold328,KK502727,KK502727,
Scaffold329,KK502728,KK502728,
Scaffold330,KK502729,KK502729,
Scaffold331,KK502730,KK502730,
Scaffold332,KK502731,KK502731,
Scaffold333,KK502732,KK502732,
Scaffold334,KK502733,KK502733,
Scaffold335,KK502734,KK502734,
Scaffold336,KK502735,KK502735,
Scaffold337,KK502736,KK502736,
Scaffold338,KK502737,KK502737,
Scaffold339,KK502738,KK502738,
Scaffold340,KK502739,KK502739,
Scaffold341,KK502740,KK502740,
Scaffold342,KK502741,KK502741,
Scaffold343,KK502742,KK502742,
Scaffold344,KK502743,KK502743,
Scaffold345,KK502744,KK502744,
Scaffold346,KK502745,KK502745,
Scaffold347,KK502746,KK502746,
Scaffold348,KK502747,KK502747,
Scaffold349,KK502748,KK502748,
Scaffold350,KK502749,KK502749,
Scaffold351,KK502750,KK502750,
Scaffold352,KK502751,KK502751,
Scaffold353,KK502752,KK502752,
Scaffold354,KK502753,KK502753,
Scaffold355,KK502754,KK502754,
Scaffold356,KK502755,KK502755,
Scaffold357,KK502756,KK502756,
Scaffold358,KK502757,KK502757,
Scaffold359,KK502758,KK502758,
Scaffold360,KK502759,KK502759,
Scaffold361,KK502760,KK502760,
Scaffold362,KK502761,KK502761,
Scaffold363,KK502762,KK502762,
Scaffold364,KK502763,KK502763,
Scaffold365,KK502764,KK502764,
Scaffold366,KK502765,KK502765,
Scaffold367,KK502766,KK502766,
Scaffold368,KK502767,KK502767,
Scaffold369,KK502768,KK502768,
Scaffold370,KK502769,KK502769,
Scaffold371,KK502770,KK502770,
Scaffold372,KK502771,KK502771,
Scaffold373,KK502772,KK502772,
Scaffold374,KK502773,KK502773,
Scaffold375,KK502774,KK502774,
Scaffold376,KK502775,KK502775,
Scaffold377,KK502776,KK502776,
Scaffold378,KK502777,KK502777,
Scaffold379,KK502778,KK502778,
Scaffold380,KK502779,KK502779,
Scaffold381,KK502780,KK502780,
Scaffold382,KK502781,KK502781,
Scaffold383,KK502782,KK502782,
Scaffold384,KK502783,KK502783,
Scaffold385,KK502784,KK502784,
Scaffold386,KK502785,KK502785,
Scaffold387,KK502786,KK502786,
Scaffold388,KK502787,KK502787,
Scaffold389,KK502788,KK502788,
Scaffold390,KK502789,KK502789,
Scaffold391,KK502790,KK502790,
Scaffold392,KK502791,KK502791,
Scaffold393,KK502792,KK502792,
Scaffold394,KK502793,KK502793,
Scaffold395,KK502794,KK502794,
Scaffold396,KK502795,KK502795,
Scaffold397,KK502796,KK502796,
Scaffold398,KK502797,KK502797,
Scaffold399,KK502798,KK502798,
Scaffold400,JMRR01013076,JMRR01013076,
Scaffold401,KK502799,KK502799,
Scaffold402,KK502800,KK502800,
Scaffold403,KK502801,KK502801,
Scaffold404,KK502802,KK502802,
Scaffold405,KK502803,KK502803,
Scaffold406,KK502804,KK502804,
Scaffold407,KK502805,KK502805,
Scaffold408,KK502806,KK502806,
Scaffold409,KK502807,KK502807,
Scaffold410,KK502808,KK502808,
Scaffold411,KK502809,KK502809,
Scaffold412,KK502810,KK502810,
Scaffold413,KK502811,KK502811,
Scaffold414,KK502812,KK502812,
Scaffold415,KK502813,KK502813,
Scaffold416,KK502814,KK502814,
Scaffold417,KK502815,KK502815,
Scaffold418,KK502816,KK502816,
Scaffold419,KK502817,KK502817,
Scaffold420,KK502818,KK502818,
Scaffold421,KK502819,KK502819,
Scaffold422,KK502820,KK502820,
Scaffold423,KK502821,KK502821,
Scaffold424,KK502822,KK502822,
Scaffold425,KK502823,KK502823,
Scaffold426,KK502824,KK502824,
Scaffold427,KK502825,KK502825,
Scaffold428,KK502826,KK502826,
Scaffold429,KK502827,KK502827,
Scaffold430,KK502828,KK502828,
Scaffold431,KK502829,KK502829,
Scaffold432,KK502830,KK502830,
Scaffold433,KK502831,KK502831,
Scaffold434,KK502832,KK502832,
Scaffold435,KK502833,KK502833,
Scaffold436,KK502834,KK502834,
Scaffold437,KK502835,KK502835,
Scaffold438,KK502836,KK502836,
Scaffold439,KK502837,KK502837,
Scaffold440,KK502838,KK502838,
Scaffold441,KK502839,KK502839,
Scaffold442,KK502840,KK502840,
Scaffold443,KK502841,KK502841,
Scaffold444,KK502842,KK502842,
Scaffold445,KK502843,KK502843,
Scaffold446,KK502844,KK502844,
Scaffold447,KK502845,KK502845,
Scaffold448,KK502846,KK502846,
Scaffold449,KK502847,KK502847,
Scaffold450,KK502848,KK502848,
Scaffold451,KK502849,KK502849,
Scaffold452,KK502850,KK502850,
Scaffold453,KK502851,KK502851,
Scaffold454,KK502852,KK502852,
Scaffold455,KK502853,KK502853,
Scaffold456,JMRR01013979,JMRR01013979,
Scaffold457,KK502854,KK502854,
Scaffold458,KK502855,KK502855,
Scaffold459,KK502856,KK502856,
Scaffold460,KK502857,KK502857,
Scaffold461,KK502858,KK502858,
Scaffold462,KK502859,KK502859,
Scaffold463,KK502860,KK502860,
Scaffold464,KK502861,KK502861,
Scaffold465,KK502862,KK502862,
Scaffold466,KK502863,KK502863,
Scaffold467,KK502864,KK502864,
Scaffold468,KK502865,KK502865,
Scaffold469,KK502866,KK502866,
Scaffold470,KK502867,KK502867,
Scaffold471,KK502868,KK502868,
Scaffold472,KK502869,KK502869,
Scaffold473,KK502870,KK502870,
Scaffold474,KK502871,KK502871,
Scaffold475,KK502872,KK502872,
Scaffold476,KK502873,KK502873,
Scaffold477,KK502874,KK502874,
Scaffold478,KK502875,KK502875,
Scaffold479,KK502876,KK502876,
Scaffold480,KK502877,KK502877,
Scaffold481,KK502878,KK502878,
Scaffold482,KK502879,KK502879,
Scaffold483,KK502880,KK502880,
Scaffold484,KK502881,KK502881,
Scaffold485,KK502882,KK502882,
Scaffold486,KK502883,KK502883,
Scaffold487,KK502884,KK502884,
Scaffold488,JMRR01014436,JMRR01014436,
Scaffold489,KK502885,KK502885,
Scaffold490,KK502886,KK502886,
Scaffold491,KK502887,KK502887,
Scaffold492,KK502888,KK502888,
Scaffold493,KK502889,KK502889,
Scaffold494,KK502890,KK502890,
Scaffold495,KK502891,KK502891,
Scaffold496,KK502892,KK502892,
Scaffold497,KK502893,KK502893,
Scaffold498,KK502894,KK502894,
Scaffold499,KK502895,KK502895,
Scaffold500,KK502896,KK502896,
Scaffold501,KK502897,KK502897,
Scaffold502,KK502898,KK502898,
Scaffold503,KK502899,KK502899,
Scaffold504,KK502900,KK502900,
Scaffold505,KK502901,KK502901,
Scaffold506,KK502902,KK502902,
Scaffold507,KK502903,KK502903,
Scaffold508,KK502904,KK502904,
Scaffold509,KK502905,KK502905,
Scaffold510,KK502906,KK502906,
Scaffold511,KK502907,KK502907,
Scaffold512,KK502908,KK502908,
Scaffold513,KK502909,KK502909,
Scaffold514,KK502910,KK502910,
Scaffold515,KK502911,KK502911,
Scaffold516,KK502912,KK502912,
Scaffold517,KK502913,KK502913,
Scaffold518,KK502914,KK502914,
Scaffold519,KK502915,KK502915,
Scaffold520,KK502916,KK502916,
Scaffold521,KK502917,KK502917,
Scaffold522,KK502918,KK502918,
Scaffold523,KK502919,KK502919,
Scaffold524,KK502920,KK502920,
Scaffold525,KK502921,KK502921,
Scaffold526,KK502922,KK502922,
Scaffold527,KK502923,KK502923,
Scaffold528,KK502924,KK502924,
Scaffold529,KK502925,KK502925,
Scaffold530,KK502926,KK502926,
Scaffold531,KK502927,KK502927,
Scaffold532,KK502928,KK502928,
Scaffold533,KK502929,KK502929,
Scaffold534,KK502930,KK502930,
Scaffold535,KK502931,KK502931,
