current seq_region name,new seq_region name,INSDC accession,Notes
Scaffold175,KK499937,KK499937,
Scaffold176,KK499938,KK499938,
Scaffold177,KK499939,KK499939,
Scaffold178,KK499940,KK499940,
Scaffold179,KK499941,KK499941,
Scaffold180,KK499942,KK499942,
Scaffold181,KK499943,KK499943,
Scaffold182,KK499944,KK499944,
Scaffold183,KK499945,KK499945,
Scaffold184,KK499946,KK499946,
Scaffold185,KK499947,KK499947,
Scaffold186,KK499948,KK499948,
Scaffold187,KK499949,KK499949,
Scaffold188,KK499950,KK499950,
Scaffold189,KK499951,KK499951,
Scaffold190,KK499952,KK499952,
Scaffold191,KK499953,KK499953,
Scaffold192,KK499954,KK499954,
Scaffold193,KK499955,KK499955,
Scaffold194,KK499956,KK499956,
Scaffold195,KK499957,KK499957,
Scaffold196,KK499958,KK499958,
Scaffold197,KK499959,KK499959,
Scaffold198,KK499960,KK499960,
Scaffold199,KK499961,KK499961,
Scaffold200,KK499962,KK499962,
Scaffold201,KK499963,KK499963,
Scaffold202,KK499964,KK499964,
Scaffold203,KK499965,KK499965,
Scaffold204,KK499966,KK499966,
Scaffold205,KK499967,KK499967,
Scaffold206,KK499968,KK499968,
Scaffold207,KK499969,KK499969,
Scaffold208,KK499970,KK499970,
Scaffold209,KK499971,KK499971,
Scaffold210,KK499972,KK499972,
Scaffold211,KK499973,KK499973,
Scaffold212,KK499974,KK499974,
Scaffold213,KK499975,KK499975,
Scaffold214,KK499976,KK499976,
Scaffold215,KK499977,KK499977,
Scaffold216,KK499978,KK499978,
Scaffold217,KK499979,KK499979,
Scaffold218,KK499980,KK499980,
Scaffold219,KK499981,KK499981,
Scaffold220,KK499982,KK499982,
Scaffold221,KK499983,KK499983,
Scaffold222,KK499984,KK499984,
Scaffold223,KK499985,KK499985,
Scaffold224,KK499986,KK499986,
Scaffold225,KK499987,KK499987,
Scaffold226,KK499988,KK499988,
Scaffold227,KK499989,KK499989,
Scaffold228,KK499990,KK499990,
Scaffold229,KK499991,KK499991,
Scaffold230,KK499992,KK499992,
Scaffold231,KK499993,KK499993,
Scaffold232,KK499994,KK499994,
Scaffold233,JMRQ01002872,JMRQ01002872,
Scaffold234,KK499995,KK499995,
Scaffold235,KK499996,KK499996,
Scaffold236,KK499997,KK499997,
Scaffold237,KK499998,KK499998,
Scaffold238,KK499999,KK499999,
Scaffold239,KK500000,KK500000,
Scaffold240,KK500001,KK500001,
Scaffold241,KK500002,KK500002,
Scaffold242,KK500003,KK500003,
Scaffold243,KK500004,KK500004,
Scaffold244,KK500005,KK500005,
Scaffold245,KK500006,KK500006,
Scaffold246,KK500007,KK500007,
Scaffold247,KK500008,KK500008,
Scaffold248,KK500009,KK500009,
Scaffold249,KK500010,KK500010,
Scaffold250,KK500011,KK500011,
